"election_month","election_type","office_key","gid","gid_level","glabel","candidate","candidate_major","candidate_party","candidate_party_major","metric_desc","metric"
201611,"general","pr","29215","county","Texas","trump","trump","republican","republican","votes",8875
201611,"general","pr","29217","county","Vernon","trump","trump","republican","republican","votes",6533
201611,"general","pr","29219","county","Warren","trump","trump","republican","republican","votes",11111
201611,"general","pr","29221","county","Washington","trump","trump","republican","republican","votes",7048
201611,"general","pr","29223","county","Wayne","trump","trump","republican","republican","votes",4658
201611,"general","pr","29225","county","Webster","trump","trump","republican","republican","votes",12840
201611,"general","pr","29227","county","Worth","trump","trump","republican","republican","votes",808
201611,"general","pr","29229","county","Wright","trump","trump","republican","republican","votes",6707
201611,"general","pr","29001","county","Adair","johnson","johnson","libertarian","libertarian","votes",426
201611,"general","pr","29003","county","Andrew","johnson","johnson","libertarian","libertarian","votes",336
201611,"general","pr","29005","county","Atchison","johnson","johnson","libertarian","libertarian","votes",104
201611,"general","pr","29007","county","Audrain","johnson","johnson","libertarian","libertarian","votes",363
201611,"general","pr","29009","county","Barry","johnson","johnson","libertarian","libertarian","votes",338
201611,"general","pr","29011","county","Barton","johnson","johnson","libertarian","libertarian","votes",135
201611,"general","pr","29013","county","Bates","johnson","johnson","libertarian","libertarian","votes",306
201611,"general","pr","29015","county","Benton","johnson","johnson","libertarian","libertarian","votes",278
201611,"general","pr","29017","county","Bollinger","johnson","johnson","libertarian","libertarian","votes",97
201611,"general","pr","29019","county","Boone","johnson","johnson","libertarian","libertarian","votes",4268
201611,"general","pr","29021","county","Buchanan","johnson","johnson","libertarian","libertarian","votes",1709
201611,"general","pr","29023","county","Butler","johnson","johnson","libertarian","libertarian","votes",392
201611,"general","pr","29025","county","Caldwell","johnson","johnson","libertarian","libertarian","votes",188
201611,"general","pr","29027","county","Callaway","johnson","johnson","libertarian","libertarian","votes",757
201611,"general","pr","29029","county","Camden","johnson","johnson","libertarian","libertarian","votes",597
201611,"general","pr","29031","county","Cape Girardeau","johnson","johnson","libertarian","libertarian","votes",1109
201611,"general","pr","29033","county","Carroll","johnson","johnson","libertarian","libertarian","votes",106
201611,"general","pr","29035","county","Carter","johnson","johnson","libertarian","libertarian","votes",55
201611,"general","pr","29037","county","Cass","johnson","johnson","libertarian","libertarian","votes",2159
201611,"general","pr","29039","county","Cedar","johnson","johnson","libertarian","libertarian","votes",179
201611,"general","pr","29041","county","Chariton","johnson","johnson","libertarian","libertarian","votes",98
201611,"general","pr","29043","county","Christian","johnson","johnson","libertarian","libertarian","votes",1495
201611,"general","pr","29045","county","Clark","johnson","johnson","libertarian","libertarian","votes",101
